package_id,name,phase,type,dependencies,goal,done,impact,approval,rollback,exclude,status,primary_requirements,linked_requirements,findings,retirement_ids
R10,Document Preparation/Intelligence i rzeczywiste formaty,B — Poprawność istniejącego systemu,FIX / VERIFY / COMPLETE_REQUIREMENT,R02;R06;R09,Nowy wspierany dokument sam przechodzi trwały proces i staje się materiałem użytecznym dla Asystenta.,Proces istniejący działa dla zatwierdzonych formatów i ograniczeń. Aktywacja nowej pracy produkcyjnej dopiero po osobnym planie rollout/pause.,Kod istniejącego pipeline; możliwe normalne zapisy jobów/artifacts w zatwierdzonym canary. Backfill i schema poza automatyczną zgodą.,Source; oddzielnie production flag/canary IDs/Qdrant writes i zatrzymanie testu. Przed deploy R03.,"Pause dopuszczonego dispatchera/bezpieczna konfiguracja poprzednia; zachowanie oryginałów i audytu jobów, bez ręcznego kasowania rekordów.","Cała historia 5988 dokumentów, „enable i obserwuj wszystkie 15”, nowy równoległy pipeline i usuwanie ograniczeń safety.",PLANNED,M-011;M-019;M-020;M-024;M-025;M-027;M-028;M-029;M-030;M-031;M-032;M-070;F-001,M-018;M-023;M-026;M-033;M-034;M-069;F-025,FND-002;FND-003;FND-004;FND-019;FND-020;FND-021;FND-022;FND-024;FND-034,
R11,Punktowa naprawa historycznego Unicode,B — Poprawność istniejącego systemu,FIX_DATA / VERIFY,R02;R03,Usunąć konkretną przeszkodę zapytań JSON bez przebudowy historycznych danych.,Błąd naprawiony lub potwierdzone wcześniejsze usunięcie; zachowany chroniony dowód i reversibility.,Jedna jawna produkcyjna mutacja danych po zgodzie; bez schema migration i model reconstruction.,"Odrębna approval historycznej naprawy: dokładny ID, preimage, projection, limit i backup.",Chroniony preimage oraz kontrolowana przywracająca procedura; nie przywracać uszkodzenia automatycznie do czynnego systemu.,"Bulk SQL replace, cała tabela, usuwanie dokumentu lub naprawa przez model.",PLANNED,M-023,F-001;F-033,FND-019,
R12,"Gmail, załączniki i dowodliwe dopasowania",B — Poprawność istniejącego systemu,FIX / VERIFY,R02;R10,"Przetworzony lokalnie załącznik trafia do właściwej sprawy lub review, a historia nie jest przepinana po cichu.",Nowy przepływ przyjęcia i powiązania odebrany; historyczne rekordy mają rozstrzygniętą klasę lub jawny backlog zaakceptowany przez właściciela.,Kod matcher/call-sites; normalne link writes i historyczny apply oddzielnie gated. Brak provider writes w audycie coverage.,Source/deploy; provider read scope; osobne batch IDs i approval dla historycznych relacji.,"Revert call-site; odtworzenie konkretnych starych linków z provenance, nie masowy unlink.","Automatyczne uznanie confidence za zgodę na konflikt, full mailbox export, automatyczna wysyłka.",PLANNED,M-018;M-021;F-009;F-010;F-011,F-005;F-033,FND-003;FND-017;FND-018,
R13,"Użyteczna, wersjonowana baza wiedzy",B — Poprawność istniejącego systemu,FIX / COMPLETE_REQUIREMENT / VERIFY,R08;R09;R10,"Asystent otrzymuje zasady, wzory i ograniczenia z zatwierdzonej KB, a nie sam spis tematów.",Zatwierdzony korpus i mechanizm świeżości działają; nie wystarcza liczba itemów ani sam indeks green.,"Istniejące KB/retrieval/źródła; Qdrant i corpus writes po zgodzie. Możliwa mała additive schema po projekcie, nie domyślne NO za wszelką cenę.","Zatwierdzenie źródeł/licencji, zakresu kontrolowanego Internetu, danych i indeksacji; osobno migracja w razie potrzeby.","Powrót do poprzedniej zatwierdzonej generacji; historyczne źródła zachowane, nie usuwać całej kolekcji.","General web agent bez ograniczeń, pozyskiwanie płatnych norm bez uprawnień, udawanie analizy przez opis zawartości.",PLANNED,M-041;M-056;F-018,M-002;M-026;M-036;M-037;M-054;M-060;F-020;F-025,FND-009;FND-011;FND-012;FND-022;FND-030;FND-031,
R14,Archiwum i podobne realizacje,B — Poprawność istniejącego systemu,COMPLETE_REQUIREMENT / VERIFY,R08;R10;R11;R12;R13,"Znajdować porównywalne wykonane sprawy i wyjaśniać podobieństwa oraz różnice, a nie wyłącznie podobne słowa.","Mierzalne, uzgodnione pokrycie i jakość podobnych realizacji, ze wskazaniem jakiej części archiwum faktycznie dotyczy odpowiedź.",Nowe/odświeżone artefakty i indeksy w zatwierdzonych batchach. Brak relink bez osobnej zgody.,Każdy historyczny batch/backfill ma osobny approval zakresu i limitu; mechanizm snapshot przed indeksem.,Przywrócenie generacji i usunięcie wyłącznie własnych testowych/potwierdzonych punktów; nie rebuild wszystkiego w ciemno.,"Full corpus drain na starcie, deklaracja pełnego archive search dla ograniczonego indeksu.",PLANNED,M-034;M-035;M-037;M-038;M-044;F-020,M-011;M-036;M-060;M-071;F-001;F-004;F-011;F-018,FND-002;FND-018;FND-022;FND-031,
R15,Realne Visual i trudna analiza przez Temporary Chat,B — Poprawność istniejącego systemu,COMPLETE_REQUIREMENT / VERIFY,R05;R06;R08;R09;R10;R13,"Udowodnić pełną analizę z wiedzą i obrazem na obecnym zestawie, bez bezpośredniej publikacji zewnętrznej odpowiedzi.","Obie ścieżki Temporary Chat mają dzisiejszy evidence i wersję workerów; poprawność, użyteczność i bezpieczeństwo odebrane razem.",Syntetyczne external/model jobs i lokalne wyniki w wyznaczonym środowisku; produkcyjne kolejki nadal bez drainu.,Odrębna zgoda na exact synthetic external smoke i ewentualny testowy session setup; po privacy R05.,"Zatrzymanie własnych testów, bezpieczna blokada niedopuszczonej eskalacji; zachowanie audytu i brak zwykłego-chat fallback.","Test na realnych danych klientów bez klasyfikacji, ocena pipeline tylko po JSON, zastąpienie tempchat API.",PLANNED,M-002;M-026;M-054;M-057;M-058;M-060;M-062;F-019,M-028;M-041;M-042;M-044;M-045;M-050;M-056;M-059;M-070;F-025,FND-004;FND-005;FND-008;FND-011;FND-012;FND-013;FND-016;FND-035;FND-036,
R16,"Odbiór aplikacji: emulator, Windows i Web",B — Poprawność istniejącego systemu,VERIFY / FIX,R04;R06;R07;R08;R09;R10;R12;R15,Uzyskać pierwszą realnie używalną wersję CRM + AI bez czekania na wszystkie późniejsze moduły.,"Kamień K1: działający CRM + analityczny Asystent, gotowy do osobnego kontrolowanego wydania, mimo nadal otwartych ofert/umów/metod. Nie oznaczać pełnego Masterplan PASS.",Testy runtime i ewentualne małe UX fixes. Brak automatycznej publikacji lub kasowania AVD.,Okno emulatora/modeli/tempchat oraz osobno candidate install/release; before production deploy R03.,Zachowany build/aplikacja/dane i kompatybilny backend; nie downgrade niekompatybilnego schema w ciemno.,"Wymóg fizycznego telefonu, mylenie 341 testów Flutter z E2E, końcowy globalny redesign UI.",PLANNED,M-015;M-045;M-064;F-024;F-025,M-001;M-010;M-012;M-022;M-043;M-048;M-049;M-057;M-073;F-035,FND-006;FND-007;FND-014;FND-015;FND-016;FND-029;FND-036,
R17,Zweryfikowane metody techniczne i obliczenia,C — Dokończenie wymagań,COMPLETE_REQUIREMENT,R09;R13;R15,"Dostarczyć realne narzędzia techniczne, nie jedynie dowolny kalkulator wzorów.",Rejestr metod rozstrzygnięty: wymagane metody zwalidowane; pozostałe jawnie odroczone decyzją scope i nie liczone do pełnej realizacji. Funkcje nie są zamykane samym green engine test.,"Metody, API/UI artefaktu, możliwa additive migration i dane testowe. Finalne obliczenia wymagają human review.","Lista metod/źródeł i odbioru technicznego, source, migration, rollout oddzielnie.","Wyłączenie wadliwej wersji metody; stare artefakty zachowane z oznaczeniem, bez przepisywania historycznych wyników.","Nowy framework obliczeń bez potrzeby, arbitralne jednostki, uznanie sztucznego przykładu za zatwierdzoną normę.",PLANNED,M-055,M-005;M-026;M-054;M-056;M-061;M-071,FND-010;FND-030,
R18,Oferty jako wersjonowany obieg,C — Dokończenie wymagań,COMPLETE_REQUIREMENT,R13;R16,"Przygotować ofertę ze sprawy i firmowych reguł, z pełną kontrolą wersji i akceptacji.","M-013/M-051/M-052 mają działające encje, API/UI i odbiór właściciela; sam wygenerowany tekst nie wystarcza.",Oczekiwana migration danych domeny po design/isolated upgrade/downgrade/report/approval; brak auto wysyłki.,"Model domeny i reguły firmy; osobno schema, source, deploy i wysyłka.",Feature disable lub zgodna poprawka forward; nie kasować zatwierdzonych ofert ani ich historii.,"Podpis elektroniczny, ERP/księgowość bez wymagania, automatyczne ustalanie cen z wyobraźni modelu.",PLANNED,M-013;M-051;M-052,M-001;M-005;M-017;M-055;M-061;M-063;M-071,FND-001,
R19,Umowy z zaakceptowanej oferty,C — Dokończenie wymagań,COMPLETE_REQUIREMENT,R18,"Wersjonowana umowa dziedziczy właściwe, zatwierdzone warunki zamiast bazować na zmiennym szkicu.",M-014/M-053 i końcowa część §42 działają w UI ze źródłem warunków i pełnym audytem.,Oczekiwana additive migration i szablony po zatwierdzeniu; bez automatycznych działań prawnych/finansowych.,"Zatwierdzenie szablonów/warunków przez właściciela; osobno migracja, source, deploy i użycie finalne.",Zachowanie poprzedniej kompatybilnej wersji i wszystkich zaakceptowanych dokumentów; forward correction zamiast destructive downgrade.,"Swobodne generowanie finalnych postanowień jako porady prawnej, podpis/wysłanie bez zgody.",PLANNED,M-014;M-053,M-001;M-005;M-017;M-061;M-063;M-071,FND-001,
R20,"Domknięcie CRM, pracy terenowej i uprawnień",C — Dokończenie wymagań,VERIFY / FIX / COMPLETE_REQUIREMENT,R16;R18;R19,Zachować działający CRM i domknąć jego rolę jako miejsca całej historii sprawy.,"Istniejące DEMONSTRATED pozostają objęte regresją, braki mają małe zakończone slice, a nie nową implementację CRM.","Najpierw verification, minimalne fixes; możliwe potrzebne uzupełnienia schema po projekcie. Production business actions nie wchodzą do automatycznych testów.","Source; osobno nowe tool write authority, schema i deploy. Bez powtórnej decyzji o już przyjętym ContactPerson B.",Poprzedni kompatybilny build/feature switch; nie odwracać historycznych powiązań klientów globalnie.,"Przebudowa całego CRM, nowe nieograniczone Agent write tools, testy realnego purge/send.",PLANNED,M-005;M-006;M-007;M-008;M-009;M-010;M-016;M-017;M-022;M-069;F-002;F-003;F-004;F-005;F-006;F-007;F-008;F-012;F-013;F-014;F-015;F-029;F-035,M-001;M-015;M-018;M-038;M-043;M-047;M-061;M-063;M-064;M-071;F-009;F-022,,
R21,Zakres CAD i pozostałych możliwości docelowych,C — Dokończenie wymagań,OWNER_DECISION / COMPLETE_REQUIREMENT,R10;R16,Nie udawać wsparcia całej dokumentacji technicznej i nie rozszerzać projektu bez końca.,"Zatwierdzony zakres kompatybilności zrealizowany i odebrany. Nierozstrzygnięta decyzja nie blokuje K1, ale blokuje twierdzenie o pełnej zgodności z danym wymaganiem.",Możliwy nowy kontrolowany dependency lub additive metadata/schema po projekcie; żadnych samowolnych instalacji.,"Wybór zakresu i licencji; osobno dependency/security review, schema oraz deploy.",Wyłączenie adaptera i pozostawienie explicit unsupported; zachowanie oryginałów i provenance.,"Własny silnik CAD, nieograniczone web/Agent, iOS jako narzucony blocker mimo opcjonalności.",PLANNED,,M-019;M-028;M-044;M-063,FND-020;FND-021,
R22,"Operacje, alerty i retencja",C — Dokończenie wymagań,COMPLETE_REQUIREMENT / VERIFY,R03;R04;R09;R16,Wykrywać awarie i chronić odtwarzalność bez automatycznego kasowania danych dla samego „porządku”.,"Operacje wymagane w followup odebrane; wyłączona retencja jest akceptowana wyłącznie jako jawna decyzja właściciela, a nie ukryte COMPLETE.","Konfiguracja/alerty; destructive retention i n8n purge oddzielnie gated, niezależnie od source PASS.",Zachować istniejące FOLLOWUP_BACKUP_RETENTION_DELETE_APPROVAL_REQUIRED i FOLLOWUP_N8N_RETENTION_APPROVAL_REQUIRED; kanał zewnętrzny osobno.,Wycofanie konfiguracji; skasowany backup nie ma automatycznego rollbacku — przed deletion wymagany zachowany restore chain i świadoma zgoda.,"Docker prune, kasowanie kopii niezarządzanych, retencja traktowana jako bezpiecznie odwracalna.",PLANNED,M-068;F-016;F-022;F-027;F-028,M-003;M-004;M-062;M-066;M-069;F-015,FND-015;FND-024;FND-025,
R23,Odbiór §42 i kontrolowane wydanie systemu,D — Odbiór całości,VERIFY / RELEASE,R03;R04;R11;R12;R13;R14;R16;R17;R18;R19;R20;R21;R22,Udowodnić działanie całego uzgodnionego produktu jako narzędzia pracy właściciela.,Kamień K2: odebrany zakres operacyjny. „Pełny Masterplan” wolno napisać tylko przy spełnieniu wszystkich wymaganych pozycji albo z jawnym opisem zatwierdzonej zmiany specyfikacji.,Wydanie i normalne operacje po zgodzie; migracje wyłącznie przygotowane w wcześniejszych pakietach.,Osobny release/migration/deploy/canary approval i odbiór właściciela. Nie konsumuje approval final cleanup.,Poprzedni release tylko gdy schema compatible; inaczej bezpieczny forward fix/feature disable lub zatwierdzone odtworzenie. Nie utracić nowych danych.,"Kolejny pełny redesign, masowe historyczne apply jako test, ogłoszenie sukcesu samym licznikiem testów.",PLANNED,M-001;M-061;M-071;M-073,M-067;F-026;F-035,FND-001;FND-026,
R24,Końcowe sprzątanie bez utraty funkcji,E — Sprzątanie końcowe,FINAL_CLEANUP,R23,Usunąć zbędne pozostałości dopiero po kontroli zależności i odbiorze ich zastępstw.,Kamień K3: porządek i odbiór po cleanup. Rejestr ma finalny werdykt dla wszystkich kandydatów: usunięto/archiwum/zachowano/pozostaje jawny HOLD z właścicielem.,Exact-path usuwanie/archiwizacja oraz ewentualne bounded data cleanup oddzielnie autoryzowane; brak ogólnego prune.,"Osobne zgody FOLLOWUP_STORAGE_CLEANUP_APPROVAL_REQUIRED, FOLLOWUP_OLD_MODEL_CLEANUP_APPROVAL_REQUIRED, FOLLOWUP_HISTORICAL_DATA_CLEANUP_APPROVAL_REQUIRED zgodnie z zakresem; nie dotyczą chronionego 9B.",Tracked: commit+path; untracked/outside: niezależna zweryfikowana kopia; dane: chroniony preimage/backup. Irreversible retention jawnie oznaczona.,"Wildcard delete, git clean/reset, modele 9B/embedding, migracje/lockfile/licencje/regresje, live builds/workers przed zastąpieniem, obcy PostgreSQL.",PLANNED,F-030;F-031;F-032;F-033,M-003;M-061;M-072;M-073;F-015;F-019,FND-018;FND-029;FND-032;FND-035,RT-001;RT-002;RT-003;RT-004;RT-005;RT-006;RT-007;RT-008;RT-009;RT-010;RT-012;RT-013;RT-014;RT-015;RT-016;RT-017;RT-018;RT-019;RT-020;RT-021;RT-022;RT-023;RT-024;RT-025;RT-026;RT-027;RT-028;RT-029;RT-030;RT-031;RT-032;RT-033;RT-034;RT-035;RT-036;RT-037;RT-038;RT-039;RT-040;RT-041;RT-042;RT-043;RT-044;RT-045;RT-046;RT-047;RT-048;RT-049;RT-050;RT-051;RT-053;RT-054;RT-055;RT-056;RT-058;RT-059;RT-060;RT-061
